reviewerid,movie-code,rating
112,30,2
563,197,1
207,164,2
374,191,2
258,34,2
9,45,2
313,102,2
227,200,2
511,107,2
125,62,1
514,79,2
22,89,2
24,61,2
383,117,1
430,76,1
425,59,2
554,4,2
528,79,2
519,59,2
142,51,1
0,43,2
64,186,2
47,8,1
360,47,1
442,148,1
17,14,1
232,97,2
448,193,1
130,138,1
375,97,2
351,200,1
161,48,0
462,117,1
438,107,1
28,186,2
96,8,2
24,151,2
374,53,2
562,112,2
146,160,2
480,80,2
151,190,2
275,66,2
232,165,1
68,87,2
433,58,2
111,33,2
268,60,2
114,103,2
466,31,2
10,138,2
355,31,1
424,132,2
62,102,2
226,1,2
141,89,1
100,192,2
237,17,2
509,151,2
437,43,2
62,158,2
343,18,2
554,167,2
195,190,2
179,18,2
505,70,1
557,22,2
559,121,2
454,30,2
382,160,1
364,200,2
410,67,2
14,146,1
533,195,2
309,4,1
155,3,2
385,139,2
442,200,2
130,70,2
418,97,1
320,87,2
47,170,2
317,137,2
168,13,2
156,9,2
473,43,2
102,99,2
122,173,0
303,141,2
459,37,1
83,30,2
531,62,2
366,10,2
472,12,1
290,137,2
69,119,1
370,99,2
370,60,2
479,103,2
494,44,2
65,66,2
570,53,1
419,192,2
483,132,2
260,192,0
184,70,1
316,170,2
173,63,2
349,95,2
155,109,0
545,28,2
184,160,2
392,96,2
401,71,2
355,65,1
222,70,1
466,41,2
466,184,2
301,81,0
371,9,2
200,117,1
387,76,0
220,168,2
281,165,2
528,180,2
232,79,2
414,97,2
288,23,1
247,53,0
114,65,2
253,39,1
512,21,1
481,71,2
472,187,2
293,120,0
518,144,1
441,132,2
104,66,2
290,99,2
472,198,2
530,133,2
308,179,2
234,27,2
470,22,1
554,185,2
308,166,2
376,186,1
419,90,2
107,190,0
296,31,2
22,3,1
297,2,1
306,76,1
65,67,1
24,185,2
237,64,2
89,53,2
256,119,2
90,136,1
426,81,2
526,183,2
378,62,2
473,182,1
446,139,2
271,48,2
57,144,2
324,156,2
195,71,2
405,76,1
9,186,2
49,108,1
147,31,2
264,104,2
358,59,2
246,31,2
333,198,2
4,138,2
216,133,1
492,120,1
237,174,2
29,124,1
216,68,0
559,103,1
561,99,2
561,18,2
547,16,2
418,72,0
365,96,2
282,32,2
559,14,2
489,112,2
515,13,1
466,2,1
57,24,2
362,62,2
256,186,2
310,99,2
326,31,1
213,102,2
122,105,2
494,76,2
406,150,2
523,138,2
238,164,2
278,196,2
410,141,2
443,179,1
216,2,2
202,45,1
428,97,1
141,16,2
544,34,2
149,187,2
105,13,2
1,116,2
486,27,2
60,65,2
122,78,1
530,47,2
403,3,0
479,96,2
496,81,0
151,189,2
24,138,0
563,156,2
14,81,2
1,76,2
563,183,2
441,99,2
340,164,2
495,151,2
534,145,1
103,76,1
210,141,2
424,43,2
195,166,2
248,133,2
348,163,2
255,70,1
403,50,2
564,163,2
540,96,2
47,113,2
388,155,2
31,3,0
159,149,2
200,200,2
257,117,1
231,15,1
570,61,2
466,3,0
359,89,2
444,10,1
171,160,2
207,159,2
178,12,0
152,97,2
18,10,2
6,186,2
374,92,0
72,77,2
468,67,1
352,183,2
493,175,1
183,138,1
37,60,2
170,132,2
559,152,2
421,50,2
374,80,1
261,181,2
550,74,0
18,134,1
74,176,2
480,51,2
448,155,2
2,53,0
489,188,2
155,170,2
545,11,2
328,81,2
571,177,1
517,200,1
236,153,0
306,191,1
531,107,2
121,80,0
437,111,1
500,115,0
429,10,2
147,24,2
456,58,2
261,118,2
245,139,2
404,33,2
387,144,2
489,20,2
464,160,2
291,63,0
205,46,2
211,17,1
463,21,2
465,164,2
143,117,2
378,42,2
450,20,2
71,65,2
222,139,2
295,168,2
496,41,1
91,179,1
500,17,2
474,141,2
226,178,2
149,21,1
421,120,2
129,197,2
348,69,2
564,95,2
85,103,0
291,85,1
279,82,1
175,190,2
249,168,2
525,102,2
496,146,2
368,17,2
549,197,2
164,192,2
517,55,2
