reviewerid,movie-code,rating
116,150,0
328,56,2
470,149,1
566,51,0
181,181,0
131,6,0
236,24,2
125,95,0
247,84,0
500,108,0
209,38,2
128,159,0
431,4,1
509,150,0
342,118,0
120,128,0
215,80,0
449,27,0
268,114,2
450,114,0
310,148,0
438,45,0
298,131,0
271,44,0
391,15,0
491,131,1
65,137,1
291,140,0
83,150,0
54,54,2
466,57,2
393,195,1
249,33,0
180,111,1
508,49,0
97,12,0
532,19,0
201,69,2
517,86,0
482,121,0
122,24,1
443,8,0
490,124,2
437,138,0
138,152,0
476,181,0
389,114,0
479,92,1
208,189,1
159,111,0
482,136,1
483,115,0
332,169,0
42,148,0
349,134,1
517,195,2
301,110,1
124,67,1
426,1,2
116,147,0
409,80,1
268,39,1
20,58,1
519,54,1
360,109,0
174,104,1
507,114,0
231,73,1
281,38,0
367,50,1
111,97,0
193,114,0
540,137,0
296,111,0
162,189,0
421,51,1
197,16,0
168,89,1
44,111,0
368,85,2
531,124,0
538,180,0
518,68,0
445,41,1
558,4,1
438,39,0
12,57,2
466,123,1
243,14,0
180,2,1
166,196,1
81,180,2
375,80,1
546,31,2
386,89,0
149,23,0
120,169,0
272,128,0
400,170,1
338,185,1
548,143,1
58,6,1
474,33,1
33,36,0
125,103,0
209,135,0
220,147,0
228,131,1
302,85,0
538,133,0
393,6,1
5,129,0
330,72,0
446,136,0
121,171,0
80,19,0
230,195,1
438,44,0
10,50,0
377,21,1
545,138,0
115,5,0
45,92,0
454,188,1
208,11,1
543,22,0
171,146,1
73,9,1
46,9,0
8,82,2
570,100,1
368,111,0
557,111,0
311,147,1
203,53,2
39,74,0
189,169,1
104,24,0
476,41,0
463,15,0
450,176,0
408,56,0
538,57,0
343,174,0
506,136,0
442,36,0
561,60,1
408,134,2
504,161,1
368,27,0
472,176,0
153,33,0
89,150,2
0,106,1
268,175,1
298,69,2
330,102,1
524,168,2
6,38,1
142,110,0
473,126,1
456,5,1
359,91,2
193,91,1
127,142,0
553,54,0
352,106,0
567,136,0
119,164,2
550,197,0
93,143,0
209,86,0
15,194,0
509,54,1
167,15,0
434,58,1
27,6,1
391,38,0
310,50,1
476,175,1
525,128,0
42,6,1
232,139,0
456,172,0
15,54,1
79,24,1
315,128,2
282,57,0
94,169,1
146,27,0
294,75,0
304,46,0
229,97,0
407,54,1
216,49,0
109,7,2
22,94,0
199,7,0
216,14,2
396,39,1
63,82,2
476,128,0
14,67,1
105,45,0
513,63,2
50,181,0
431,166,1
380,88,2
157,80,1
313,190,0
55,176,1
158,118,0
64,8,1
531,100,0
414,57,0
247,67,2
363,87,0
203,30,1
65,19,0
142,36,2
414,11,0
299,101,2
390,3,1
235,35,0
227,147,1
244,6,0
361,72,2
182,169,0
111,163,0
172,25,0
147,83,2
315,150,2
63,121,0
30,28,2
490,152,0
572,121,1
76,173,2
442,113,0
558,112,1
532,1,1
219,6,0
393,199,2
92,56,1
270,14,0
437,121,1
42,131,0
317,69,1
359,114,1
358,175,1
502,75,1
300,91,1
475,72,0
389,148,1
179,166,1
283,39,1
334,27,1
236,96,1
47,167,1
462,15,0
427,171,0
531,86,0
79,78,2
153,80,1
73,45,2
296,71,0
170,50,0
81,169,0
432,23,0
289,104,2
225,16,0
517,153,0
444,12,0
345,108,2
342,163,0
571,87,0
531,38,0
286,129,1
99,6,1
80,85,1
332,69,2
428,25,0
92,5,0
67,128,0
282,36,1
482,3,0
552,73,1
308,6,1
416,134,0
99,142,0
457,8,1
528,4,0
339,114,0
103,173,2
316,148,0
65,79,0
546,28,0
256,199,2
201,157,2
207,122,2
512,100,1
1,92,2
33,50,0
483,74,0
497,45,1
492,174,1
10,113,0
490,137,1
546,48,1
333,7,1
64,131,0
431,181,0
168,27,0
445,12,1
349,7,0
204,120,0
402,167,0
88,140,0
526,76,1
372,143,0
324,31,1
294,22,1
107,182,1
225,15,1
135,137,0
397,147,2
179,51,0
376,119,2
561,14,1
96,52,0
499,115,0
148,111,0
196,68,0
380,102,2
55,22,0
139,76,1
142,162,0
131,197,2
528,63,1
357,91,0
247,11,0
324,5,1
409,148,0
342,14,1
134,117,2
12,54,0
44,40,1
531,142,0
195,98,0
342,64,1
272,147,1
43,19,0
174,58,1
564,45,2
94,189,1
361,141,1
30,50,0
520,109,0
504,38,2
177,115,2
42,105,2
481,154,0
397,129,2
569,63,1
286,19,1
408,115,0
353,137,0
394,174,0
568,24,1
332,64,2
329,178,1
357,54,0
528,32,0
471,35,0
170,33,1
541,5,0
173,146,0
346,67,1
431,45,1
533,164,2
37,45,0
399,129,0
26,74,0
290,18,0
493,129,1
137,70,1
139,64,0
455,89,0
112,193,1
522,6,0
80,6,0
236,91,0
138,13,1
139,91,0
539,36,0
454,49,1
435,57,1
420,133,1
572,128,1
277,133,0
262,3,0
70,66,2
252,6,1
124,24,1
563,64,2
201,76,1
285,93,0
387,6,2
7,121,2
409,107,1
483,120,1
90,11,0
105,196,2
332,5,1
6,99,2
22,30,0
454,22,0
140,40,0
171,44,1
346,158,2
306,115,1
221,55,0
178,142,0
451,32,1
242,75,2
409,176,2
545,180,0
381,24,2
29,55,0
273,44,1
428,92,0
560,155,0
287,167,0
268,116,1
487,155,0
121,39,0
115,57,1
461,96,2
383,150,0
54,121,2
263,55,0
263,15,0
139,79,1
111,31,0
201,100,2
450,115,0
551,70,1
236,90,2
525,107,1
224,179,1
92,39,1
87,168,0
89,197,0
169,82,1
444,185,0
383,90,1
432,70,0
79,50,0
201,143,1
420,111,1
26,60,1
366,123,1
209,11,0
431,6,0
55,26,1
476,43,1
315,48,0
562,106,0
544,114,0
98,195,2
185,147,1
342,98,0
387,102,1
180,17,1
117,48,0
553,88,2
193,172,1
243,109,0
394,4,0
296,28,0
39,119,2
230,150,1
412,197,1
455,195,0
156,24,2
6,5,0
323,124,0
134,137,1
532,87,0
368,133,2
498,36,0
486,179,2
328,49,0
553,114,2
365,142,1
476,163,0
442,126,0
466,42,1
397,154,2
233,87,0
204,157,0
300,78,1
481,88,1
172,43,1
484,130,1
65,50,0
202,97,0
112,154,1
340,98,0
310,175,0
564,88,0
426,18,1
277,57,0
235,100,0
369,182,1
74,47,0
10,3,0
96,76,0
229,109,1
170,44,1
274,121,1
176,107,1
339,59,0
135,4,1
15,167,0
22,69,0
305,25,0
258,142,1
569,42,0
216,108,0
538,25,1
458,179,2
209,59,2
38,32,2
254,15,2
232,7,1
119,37,0
364,184,0
35,11,0
517,181,1
317,119,1
366,8,0
214,9,0
383,75,0
102,185,0
224,5,0
175,25,0
204,156,1
562,87,0
108,142,1
451,7,1
147,60,1
61,32,0
523,192,1
530,111,0
558,37,1
250,15,1
43,168,2
230,157,1
209,6,1
451,162,1
444,198,1
20,194,0
233,122,0
420,140,0
156,54,1
301,38,1
564,111,0
448,69,0
383,87,1
278,89,1
135,8,2
435,14,0
92,167,0
423,36,0
21,137,0
346,92,0
111,55,0
427,150,0
91,80,0
165,24,1
446,199,0
476,24,1
96,27,0
227,20,1
309,18,0
433,50,2
247,163,1
444,13,1
216,150,0
290,148,0
558,60,1
201,33,0
375,101,1
210,165,0
428,142,0
216,19,2
144,111,0
257,77,0
248,15,1
372,185,0
304,183,0
449,70,0
16,45,1
239,132,1
171,124,2
39,128,1
268,188,1
522,63,0
78,15,0
174,128,0
511,172,1
537,18,0
492,83,0
404,6,0
17,183,1
391,71,1
21,123,0
250,131,0
424,156,1
228,11,0
349,35,0
88,104,0
296,17,2
142,42,0
20,110,0
125,59,0
522,114,0
497,147,2
40,74,1
503,76,0
246,39,1
333,57,1
141,36,1
231,137,1
498,60,1
376,180,0
123,11,0
378,103,0
73,169,2
125,162,0
394,159,1
484,38,0
387,51,1
447,39,0
291,111,0
43,13,1
497,154,0
238,188,0
486,165,2
108,109,1
500,30,2
342,16,0
60,95,0
199,44,0
329,21,0
142,4,0
155,157,1
391,25,2
152,174,0
89,159,1
556,80,0
475,154,0
477,53,0
13,15,0
279,178,2
371,42,0
162,178,0
462,18,1
218,50,0
165,118,0
98,30,1
91,171,0
551,38,0
470,157,0
48,38,1
548,22,1
141,14,0
99,75,0
321,181,0
349,104,0
248,73,1
559,35,0
227,189,0
518,148,1
432,88,0
294,182,1
98,54,2
276,38,2
186,50,1
173,115,0
6,163,1
467,69,1
401,25,1
546,4,0
257,167,0
110,119,2
37,140,0
336,15,0
258,115,0
96,95,0
328,159,0
514,13,0
288,27,0
383,47,1
448,30,1
352,112,1
4,48,1
79,77,0
483,25,0
558,19,0
192,26,1
35,89,0
146,55,0
420,153,1
348,24,0
245,101,1
465,144,0
15,83,1
264,165,1
490,18,1
67,111,0
50,95,0
376,54,0
278,199,0
324,27,0
387,183,0
22,86,0
271,45,1
200,131,1
482,153,0
220,101,0
519,82,0
151,132,2
561,187,1
268,49,2
239,58,0
432,14,0
402,185,0
228,188,0
156,188,0
452,26,1
306,134,1
432,44,0
318,38,0
532,112,0
301,36,0
103,126,1
247,174,1
253,199,0
450,199,0
90,13,0
159,83,1
397,104,2
181,102,1
312,22,2
353,116,0
185,94,0
287,163,0
521,160,1
515,148,0
19,4,0
202,69,2
557,189,0
446,15,0
486,21,2
14,106,0
195,32,0
386,173,0
337,124,0
159,38,1
345,129,0
119,177,0
263,3,1
294,37,2
147,155,0
203,104,0
523,60,2
34,71,1
546,54,1
172,174,0
493,111,0
222,140,0
56,57,1
371,163,0
291,129,0
316,3,0
427,157,0
91,176,1
276,165,2
33,66,0
380,7,0
364,97,0
322,68,0
381,58,0
299,131,2
219,159,0
297,80,0
215,182,1
102,68,0
126,188,0
145,40,0
220,94,0
465,199,1
